"id","object_id","title","artist_display_name","artist_nationality","artist_begin_date","artist_end_date","object_end_date","medium","department","culture","dimensions","country","repository","created_at"
"11","116","Andiron","Paul Revere Jr.","American","1734","1818","1790","Brass","The American Wing","American","H. 21 1/8 in. (53.7 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"12","117","Andiron","Paul Revere Jr.","American","1734","1818","1790","Brass","The American Wing","American","H. 21 1/8 in. (53.7 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"13","119","Andiron","Paul Revere Jr.","American","1734","1818","1780","Bell metal","The American Wing","American","31 1/2 x 14 x 23 1/2 in. (80 x 35.6 x 59.7 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"14","122","Andiron","Richard Wittingham","American","1794","1818","1800","Brass","The American Wing","American","22 5/8 x 10 3/4 x 20 1/2 in. (57.5 x 27.3 x 52.1 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"15","123","Andiron","Richard Wittingham","American","1794","1818","1800","Brass","The American Wing","American","22 5/8 x 10 3/4 x 20 1/2 in. (57.5 x 27.3 x 52.1 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"16","134","Architectural elements from a Retiring Room in the North Family Dwelling American, New Lebanon, New York","United Society of Believers in Christ’s Second Appearing (“Shakers”)","American","1750","9999","1840","Wood","The American Wing","American, Shaker","Dimensions unavailable","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"17","203","Splat-back armchair","John Gaines III","American","1704","1743","1743","Soft maple, poplar, ash","The American Wing","American","40 5/8 x 27 x 17 in. (103.2 x 68.6 x 43.2 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"18","205","Teapot","Wood and Hughes","American","1845","1899","1863","Silver","The American Wing","American","11 1/4 x 9 15/16 in. (28.6 x 25.2 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"19","214","Armchair","Gustave Herter","German (Stuttgart, principality of Württemberg)","1830","1898","1858","Walnut, original leather, modern velvet cushion","The American Wing","American","64 1/2 x 25 3/8 x 22 1/4 in. (163.8 x 64.5 x 56.5 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"20","215","Armchair","Thomas Affleck","American","1740","1795","1794","Mahogany","The American Wing","American","36 1/4 x 24 x 19 1/2 in. (92.1 x 61 x 49.5 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"21","216","Armchair","Thomas Affleck","American","1740","1795","1775","Mahogany, white oak","The American Wing","American","43 x 28 1/4 x 30 in. (109.2 x 71.8 x 76.2 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"22","218","Armchair","Henry Connelly","American","1770","1826","1810","Mahogany, ash","The American Wing","American","35 1/2 x 22 1/2 x 19 1/2 in. (90.2 x 57.2 x 49.5 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"23","219","Armchair","J. S. Ford, Johnson and Company","American","1867","1902","1904","Oak, poplar","The American Wing","American","31 1/2 x 20 3/8 x 25 1/2 in. (80 x 51.8 x 64.8 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"24","220","Armchair","Solomon Fussell","American","1723","1750","1750","Painted maple; rush (modern)","The American Wing","American","43 1/4 x 25 1/2 x 18 1/4 in. (109.9 x 64.8 x 46.4 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"25","221","Armchair","Herter Brothers","American","1864","1906","1870","Rosewood, marquetry, gilt","The American Wing","American","34 5/8 x 25 x 26 3/4 in. (87.9 x 63.5 x 67.9 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"26","223","Rocking Chair","Hudson and Brooks","American","1773","1873","1823","Maple, pine, mahogany","The American Wing","American","45 x 20 3/4 x 27 in. (114.3 x 52.7 x 68.6 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"27","224","Reclining Armchair","George Jakob Hunzinger","American","1835","1898","1876","Cherry","The American Wing","American","38 1/2 x 26 x 33 in. (97.8 x 66 x 83.8 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"28","225","Folding Armchair","George Jakob Hunzinger","American","1835","1898","1886","Maple, steel mesh","The American Wing","American","34 x 20 3/4 x 22 1/4 in. (86.4 x 52.7 x 56.5 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"29","227","Armchair","Léon Marcotte","French","1824","1887","1860","Maple, gilt bronze","The American Wing","American","40 3/4 x 25 1/2 x 20 in. (103.5 x 64.8 x 50.8 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"30","229","Folding Armchair","Marks Adjustable Folding Chair Company","American","1877","1897","1897","Walnut, metal","The American Wing","American","45 3/4 x 29 x 27 1/2 in. (116.2 x 73.7 x 69.9 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"31","230","Armchair","Samuel McIntire","American","1757","1811","1801","Mahogany, birch, white pine","The American Wing","American","32 1/2 x 21 x 18 in. (82.6 x 53.3 x 45.7 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"32","231","Armchair","John and Joseph W. Meeks","American","1833","1859","1850","Mahogany","The American Wing","American","53 x 23 x 22 in. (134.6 x 58.4 x 55.9 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"33","232","Armchair","North American Iron Works","American","1874","1897","1897","Cast iron","The American Wing","American","35 1/4 x 21 x 19 in. (89.5 x 53.3 x 48.3 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"34","233","Armchair","Charles-Honoré Lannuier","American","1779","1819","1813","Mahogany","The American Wing","American","32 7/8 x 22 1/8 x 19 in. (83.5 x 56.2 x 48.3 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"35","234","Armchair","Duncan Phyfe","American, born Scotland","1770","1854","1835","Rosewood","The American Wing","American","33 1/4 x 24 x 20 in. (84.5 x 61 x 50.8 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"36","238","Armchair","Henry Hobson Richardson","American","1836","1886","1880","Oak","The American Wing","American","33 x 25 x 29 in. (83.8 x 63.5 x 73.7 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"37","246","Armchair","John Jelliff","American","1813","1893","1870","Rosewood, ash, mother-of-pearl","The American Wing","American","44 1/2 x 28 1/2 x 29 3/8 in. (113 x 72.4 x 74.6 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"38","247","Armchair","John Jelliff","American","1813","1893","1870","Rosewood, ash, mother-of-pearl","The American Wing","American","44 1/2 x 28 1/2 x 29 3/8 in. (113 x 72.4 x 74.6 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"39","248","Side Chair","Joseph Meeks & Sons","American","1829","1835","1859","Rosewood","The American Wing","American","48 x 27 1/2 x 31 in. (121.9 x 69.9 x 78.7 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"40","249","Side Chair","Joseph Meeks & Sons","American","1829","1835","1859","Rosewood","The American Wing","American","48 x 27 1/2 x 31 in. (121.9 x 69.9 x 78.7 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"41","261","Armchair","John Henry Belter","American","1804","1863","1860","Rosewood, ash","The American Wing","American","50 x 26 1/2 x 23 in. (127 x 67.3 x 58.4 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"42","265","Armchair","Auguste-Emile Rinquet-Leprince","French","1801","1886","1848","Applewood or pearwood, ebonized walnut, beech, and gilt bronze mounts","The American Wing","American or French","38 1/2 x 23 1/4 x 26 1/8 in. (97.8 x 59.1 x 66.4 cm)","France","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"43","266","Armchair","Auguste-Emile Rinquet-Leprince","French","1801","1886","1848","Applewood or pearwood, ebonized walnut, beech","The American Wing","American or French","38 1/2 x 23 1/4 x 26 1/8 in. (97.8 x 59.1 x 66.4 cm)","France","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"44","267","Armchair","Duncan Phyfe","American, born Scotland","1770","1854","1818","Primary: mahogany; Secondary: cherry (medial braces), ash or oak (stubb tenon feet).","The American Wing","American","32 7/8 x 21 1/2 x 24 3/4 in. (83.5 x 54.6 x 62.9 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"45","268","Armchair","Duncan Phyfe","American, born Scotland","1770","1854","1815","Mahogany, brass","The American Wing","American","32 3/4 x 20 7/8 x 17 3/4 in. (83.2 x 53 x 45.1 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"46","269","Armchair","Duncan Phyfe","American, born Scotland","1770","1854","1835","Mahogany, cherry, ash","The American Wing","American","38 x 21 1/4 x 25 1/2 in. (96.5 x 54 x 64.8 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"47","270","Armchair","Duncan Phyfe","American, born Scotland","1770","1854","1835","Mahogany, cherry, ash","The American Wing","American","38 x 21 1/4 x 25 5/16 in. (96.5 x 54 x 64.3 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"48","285","Baby's Bottle","Thomas Danforth Boardman","American","1784","1873","1850","Pewter","The American Wing","American","H. 6 1/2 in. (16.5 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"49","315","Banjo clock","Curtis and Dunning","American","1816","1833","1816","Mahogany, gilded gesso, verre églomisé tablets","The American Wing","American","40 1/2 x 10 in. (102.9 x 25.4 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"50","318","Bank","Boston & Sandwich Glass Company","American","1825","1888","1850","Blown glass with applied decoration","The American Wing","American","H. 10 1/4 in. (26 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"51","322","Baptismal Bowl","Samuel Danforth","American","1774","1816","1816","Pewter","The American Wing","American","H. 2 1/4 in. (5.7 cm); Diam. 7 5/8 in. (19.4 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"52","335","Basin","William Bradford Jr.","American","1688","1758","1758","Pewter","The American Wing","American","H. 1 5/8 in. (4.1 cm); Diam. 5 1/2 in. (14 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"53","336","Basin","Josiah Danforth","American","1803","1872","1846","Pewter","The American Wing","American","H. 2 in. (5.1 cm); Diam. 7 7/8 in. (20 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"54","337","Basin","Thomas S. Derby","American","1786","1852","1850","Pewter","The American Wing","American","H. 1 5/8 in. (4.1 cm); Diam. 6 1/2 in. (16.5 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"55","339","Basin","Samuel Green","American","1757","1834","1837","Pewter","The American Wing","American","1 3/4 x 8 x 8 in. (4.4 x 20.3 x 20.3 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"56","341","Basin","Samuel Hamlin","American","1746","1801","1870","Pewter","The American Wing","American","2 x 5 3/4 x 5 3/4 in. (5.1 x 14.6 x 14.6 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"57","342","Basin","Gershom Jones","American","1751","1809","1809","Pewter","The American Wing","American","H. 2 in. (5.1 cm); Diam. 7 3/4 in. (19.7 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"58","343","Basin","Gershom Jones","American","1751","1809","1800","Pewter","The American Wing","American","H. 2 in. (5.1 cm); Diam. 6 1/4 in. (15.9 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"59","344","Basin","George Lightner","American","1749","1815","1815","Pewter","The American Wing","American","H. 2 5/8 in. (6.7 cm); Diam. 11 5/8 in. (29.5 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"60","345","Basin","Lyman, Fenton & Co.","American","1849","1849","1858","Mottled brown earthenware","The American Wing","American","H. 4 3/4 in. (12.1 cm); Diam. 15 in. (38.1 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"61","346","Basin","Lyman, Fenton & Co.","American","1849","1849","1858","Mottled brown earthenware","The American Wing","American","H. 4 3/8 in. (11.1 cm); Diam. 13 in. (33 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"62","347","Basin","John Skinner","American","1733","1813","1785","Pewter","The American Wing","American","H. 2 in. (5.1 cm); Diam. 8 in. (20.3 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"63","348","Basin","United States Pottery Company","American","1852","1852","1858","Mottled brown earthenware","The American Wing","American","H. 4 1/4 in. (10.8 cm); Diam. 13 1/2 in. (34.3 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"64","351","Basin","Joseph Leddel Sr.","American","1690","1754","1754","Pewter","The American Wing","American","2 3/4 x 12 7/8 x 12 7/8 in. (7 x 32.7 x 32.7 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"65","354","Basin stand","William Hook","American","1777","1867","1815","Mahogany, mahogany veneer with white pine","The American Wing","American","41 1/2 x 22 x 16 in. (105.4 x 55.9 x 40.6 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"66","355","Basin Stand","Duncan Phyfe","American, born Scotland","1770","1854","1820","Mahogany, white pine, tulip poplar","The American Wing","American","26 x 19 x 19 in. (66 x 48.3 x 48.3 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"67","363","Basket","Boston & Sandwich Glass Company","American","1825","1888","1888","Blown amber and colorless glass with applied threaded decor","The American Wing","American","H. 10 1/2 in. (26.7 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"68","364","Basket","Myer Myers","American","1723","1795","1776","Silver","The American Wing","American","11 3/16 x 14 7/16 x 11 3/8 in. (28.4 x 36.7 x 28.9 cm); 41 oz. 5 dwt. (1282.7 g)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"69","380","Beaker","Thomas Danforth Boardman","American","1784","1873","1850","Pewter","The American Wing","American","H. 5 1/8 in. (13 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"70","381","Beaker","Thomas Danforth Boardman","American","1784","1873","1850","Pewter","The American Wing","American","H. 5 1/8 in. (13 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"71","382","Beaker","Thomas Danforth Boardman","American","1784","1873","1824","Pewter","The American Wing","American","H. 5 1/8 in. (13 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"72","383","Beaker","Timothy Boardman","American","1798","1825","1825","Pewter","The American Wing","American","H. 5 1/2 in. (14 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"73","386","Beaker","Samuel Danforth","American","1774","1816","1816","Pewter","The American Wing","American","H. 3 1/8 in. (7.9 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"74","396","Beaker","Ashbil Griswold","American","1784","1853","1835","Pewter","The American Wing","American","H. 3 in. (7.6 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"75","397","Beaker","Samuel Ely Hamlin","American","1774","1864","1856","Pewter","The American Wing","American","H. 3 1/8 in. (7.9 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"76","409","Beaker","Oliver Trask","American","1792","1847","1839","Pewter","The American Wing","American","H. 5 1/4 in. (13.3 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"77","434","Covered Bean Pot","Lyman, Fenton & Co.","American","1849","1849","1858","Mottled brown earthenware","The American Wing","American","8 3/4 in. (22.2 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"78","442","Bedstead","United Society of Believers in Christ’s Second Appearing (“Shakers”)","American","1750","9999","1860","Maple, pine","The American Wing","American, Shaker","71 x 30 x 31 in. (180.3 x 76.2 x 78.7 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"79","443","Bedstead","Herter Brothers","American","1864","1906","1880","Cherry","The American Wing","American","118 x 69 1/2 x 89 1/2 in. (299.7 x 176.5 x 227.3 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"80","444","Bedstead","Thomas Seymour","American","1771","1848","1815","Mahogany, mahogany veneer, mahoganized maple and white pine, painted and gilded wood","The American Wing","American","106 3/4 x 58 5/8 x 79 1/2 in. (271.1 x 148.9 x 201.9 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"81","458","Bench","United Society of Believers in Christ’s Second Appearing (“Shakers”)","American","1750","9999","1850","Pine","The American Wing","American, Shaker","26 1/2 x 94 x 12 in. (67.3 x 238.8 x 30.5 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"82","459","Bench","United Society of Believers in Christ’s Second Appearing (“Shakers”)","American","1750","9999","1850","Pine","The American Wing","American, Shaker","16 5/8 x 35 1/2 x 9 1/2 in. (42.2 x 90.2 x 24.1 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"83","461","Bench","Alexander Roux","French","1813","1886","1865","Beech","The American Wing","American","23 3/4 x 23 7/8 x 19 1/4 in. (60.3 x 60.6 x 48.9 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"84","463","Bench","Peter Timmes","American","1878","1903","1900","Cast iron","The American Wing","American","38 1/2 x 33 1/4 x 19 in. (97.8 x 84.5 x 48.3 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"85","476","Bust of Benjamin Franklin","Isaac Broome","American","1835","1922","1876","Parian porcelain","The American Wing","American","10 x 5 5/8 x 4 5/8 in. (25.4 x 14.3 x 11.7 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"86","504","Bentwood Side Chair","Henry I. Seymour","American","1851","1885","1878","Hickory, ash","The American Wing","American","36 x 17 3/4 x 22 in. (91.4 x 45.1 x 55.9 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"87","505","Berry Dish","Boston & Sandwich Glass Company","American","1825","1888","1867","Blown glass","The American Wing","American","H. 4 1/2 in. (11.4 cm); Diam. 9 1/2 in. (24.1 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"88","506","Berry Spoon","J. and W. Moir","American","1795","1895","1900","Silver","The American Wing","American","8 x 2 1/2 in. (20.3 x 6.4 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"89","512","Bible","George Edward Eyre","British","1818","1887","1847","Paper with composition covers","The American Wing","British","6 x 3 1/2 x 2 in. (15.2 x 8.9 x 5.1 cm)","England","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"90","519","Bird Fountain","Boston & Sandwich Glass Company","American","1825","1888","1840","Lead glass, blown molded","The American Wing","American","5 1/4 x 3 1/4 in. (13.3 x 8.3 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"91","521","Figure of a Bird","United States Pottery Company","American","1852","1852","1858","Parian porcelain","The American Wing","American","H. 1 3/4 in. (4.4 cm); Diam. 2 in. (5.1 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"92","534","Birth and Baptismal Certificate","Johann Heinrich Otto","American","1730","1800","1782","Ink and watercolor on paper","The American Wing","American","12 5/8 x 15 3/4 in. (32.1 x 40 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"93","535","Birth and baptismal certificate","Johann Heinrich Otto","American","1730","1800","1786","Watercolor on paper","The American Wing","American","13 1/4 x 16 1/4 in. (33.7 x 41.3 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"94","542","Bitters Bottle","Bakewell, Pears and Company","American","1836","1882","1870","Pressed glass","The American Wing","American","H. 6 9/16 in. (16.7 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"95","544","Desk","Benjamin Burnham","American","1726","1773","1769","Cherry, white pine, yellow poplar","The American Wing","American","49 3/4 x 44 1/2 x 24 1/2 in. (126.4 x 113 x 62.2 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"96","549","Bobeche","Myer Myers","American","1723","1795","1760","Silver","The American Wing","American","Dimensions unavailable","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"97","552","Bonnet","United Society of Believers in Christ’s Second Appearing (“Shakers”)","American","1750","9999","1900","Palm leaf","The American Wing","American, Shaker","10 1/2 x 8 in. (26.7 x 20.3 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"98","553","Flask","United States Pottery Company","American","1852","1852","1858","Mottled brown earthenware","The American Wing","American","7 5/8 x 5 5/8 in. (19.4 x 14.3 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"99","554","Book flask","United States Pottery Company","American","1852","1852","1858","Mottled brown earthenware","The American Wing","American","H. 10 3/4 in. (27.3 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"100","555","Book flask","United States Pottery Company","American","1852","1852","1849","Mottled brown earthenware","The American Wing","American","H. 6 in. (15.2 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"101","564","Boot with Spur","Challinor, Taylor and Company","American","1866","1891","1890","Pressed purple marble glass","The American Wing","American","H. 3 1/2 in. (8.9 cm); Diam. 2 1/16 in. (5.2 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"102","565","Boot with Spur","Challinor, Taylor and Company","American","1866","1891","1890","Pressed purple marble glass","The American Wing","American","H. 3 1/2 in. (8.9 cm); Diam. 2 1/16 in. (5.2 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"103","566","Border Tile","J. and J. G. Low Art Tile Works","American","1877","1903","1881","Earthenware","The American Wing","American","2 1/8 x 6 x 3/8 in. (5.4 x 15.2 x 1 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"104","567","Border Tile","J. and J. G. Low Art Tile Works","American","1877","1903","1884","Earthenware","The American Wing","American","2 3/16 x 6 1/8 x 3/8 in. (5.6 x 15.6 x 1 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"105","568","Border Tile","J. and J. G. Low Art Tile Works","American","1877","1903","1885","Earthenware","The American Wing","American","2 3/16 x 6 3/16 x 7/16 in. (5.6 x 15.7 x 1.1 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"106","569","Border Tile","J. and J. G. Low Art Tile Works","American","1877","1903","1885","Earthenware","The American Wing","American","2 3/16 x 6 1/8 x 7/16 in. (5.6 x 15.6 x 1.1 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"107","570","Border Tile","J. and J. G. Low Art Tile Works","American","1877","1903","1881","Earthenware","The American Wing","American","2 3/16 x 6 1/8 x 3/8 in. (5.5 x 15.6 x 1 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"108","571","Border Tile","J. and J. G. Low Art Tile Works","American","1877","1903","1885","Earthenware","The American Wing","American","2 1/8 x 6 x 5/16 in. (5.4 x 15.2 x 0.8 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"109","572","Border Tile","J. and J. G. Low Art Tile Works","American","1877","1903","1881","Earthenware","The American Wing","American","6 1/8 x 2 3/16 x 3/8 in. (15.6 x 5.6 x 1 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"110","573","Border Tile","J. and J. G. Low Art Tile Works","American","1877","1903","1883","Earthenware","The American Wing","American","6 1/8 x 2 1/8 x 3/8 in. (15.6 x 5.4 x 1 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"111","574","Border Tile","J. and J. G. Low Art Tile Works","American","1877","1903","1885","Earthenware","The American Wing","American","6 1/8 x 2 3/16 x 5/16 in. (15.6 x 5.6 x 0.8 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"112","575","Border Tile","J. and J. G. Low Art Tile Works","American","1877","1903","1881","Earthenware","The American Wing","American","6 1/8 x 2 3/16 x 3/8 in. (15.6 x 5.6 x 1 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
"113","576","Border Tile","J. and J. G. Low Art Tile Works","American","1877","1903","1881","Earthenware","The American Wing","American","6 1/8 x 2 1/8 x 3/8 in. (15.6 x 5.4 x 1 cm)","United States","Metropolitan Museum of Art, New York, NY","2024-11-20 16:27:52"
